iteration,n_conflicted_cells,converged,total_iterations
0,21451,True,30665
250,21369,True,30665
500,21283,True,30665
750,21194,True,30665
1000,21110,True,30665
1250,21021,True,30665
1500,20957,True,30665
1750,20880,True,30665
2000,20778,True,30665
2250,20669,True,30665
2500,20587,True,30665
2750,20477,True,30665
3000,20365,True,30665
3250,20249,True,30665
3500,20135,True,30665
3750,20026,True,30665
4000,19915,True,30665
4250,19821,True,30665
4500,19721,True,30665
4750,19608,True,30665
5000,19513,True,30665
5250,19417,True,30665
5500,19290,True,30665
5750,19162,True,30665
6000,19065,True,30665
6250,18942,True,30665
6500,18835,True,30665
6750,18725,True,30665
7000,18600,True,30665
7250,18453,True,30665
7500,18321,True,30665
7750,18160,True,30665
8000,18004,True,30665
8250,17829,True,30665
8500,17690,True,30665
8750,17552,True,30665
9000,17390,True,30665
9250,17252,True,30665
9500,17095,True,30665
9750,16933,True,30665
10000,16793,True,30665
10250,16589,True,30665
10500,16417,True,30665
10750,16247,True,30665
11000,16068,True,30665
11250,15886,True,30665
11500,15711,True,30665
11750,15538,True,30665
12000,15335,True,30665
12250,15167,True,30665
12500,14949,True,30665
12750,14746,True,30665
13000,14507,True,30665
13250,14307,True,30665
13500,14104,True,30665
13750,13868,True,30665
14000,13629,True,30665
14250,13371,True,30665
14500,13144,True,30665
14750,12891,True,30665
15000,12648,True,30665
15250,12375,True,30665
15500,12094,True,30665
15750,11809,True,30665
16000,11572,True,30665
16250,11284,True,30665
16500,10976,True,30665
16750,10702,True,30665
17000,10388,True,30665
17250,10064,True,30665
17500,9796,True,30665
17750,9499,True,30665
18000,9154,True,30665
18250,9013,True,30665
18500,8885,True,30665
18750,8760,True,30665
19000,8622,True,30665
19250,8486,True,30665
19500,8356,True,30665
19750,8219,True,30665
20000,8090,True,30665
20250,7929,True,30665
20500,7760,True,30665
20750,7595,True,30665
21000,7449,True,30665
21250,7235,True,30665
21500,7065,True,30665
21750,6875,True,30665
22000,6685,True,30665
22250,6494,True,30665
22500,6305,True,30665
22750,6056,True,30665
23000,5793,True,30665
23250,5537,True,30665
23500,5294,True,30665
23750,5052,True,30665
24000,4806,True,30665
24250,4544,True,30665
24500,4251,True,30665
24750,3956,True,30665
25000,3634,True,30665
25250,3506,True,30665
25500,3343,True,30665
25750,3188,True,30665
26000,3023,True,30665
26250,2866,True,30665
26500,2676,True,30665
26750,2513,True,30665
27000,2351,True,30665
27250,2158,True,30665
27500,1918,True,30665
27750,1665,True,30665
28000,1504,True,30665
28250,1372,True,30665
28500,1216,True,30665
28750,1066,True,30665
29000,859,True,30665
29250,740,True,30665
29500,598,True,30665
29750,456,True,30665
30000,312,True,30665
30250,179,True,30665
30500,80,True,30665
30665,0,True,30665
