iteration,n_conflicted_cells,converged,total_iterations
0,39902,True,54520
250,39894,True,54520
500,39883,True,54520
750,39875,True,54520
1000,39868,True,54520
1250,39864,True,54520
1500,39850,True,54520
1750,39833,True,54520
2000,39821,True,54520
2250,39808,True,54520
2500,39796,True,54520
2750,39778,True,54520
3000,39762,True,54520
3250,39748,True,54520
3500,39734,True,54520
3750,39719,True,54520
4000,39704,True,54520
4250,39692,True,54520
4500,39676,True,54520
4750,39658,True,54520
5000,39634,True,54520
5250,39612,True,54520
5500,39593,True,54520
5750,39555,True,54520
6000,39526,True,54520
6250,39501,True,54520
6500,39474,True,54520
6750,39443,True,54520
7000,39408,True,54520
7250,39379,True,54520
7500,39350,True,54520
7750,39325,True,54520
8000,39300,True,54520
8250,39260,True,54520
8500,39232,True,54520
8750,39191,True,54520
9000,39154,True,54520
9250,39124,True,54520
9500,39086,True,54520
9750,39042,True,54520
10000,39005,True,54520
10250,38954,True,54520
10500,38910,True,54520
10750,38845,True,54520
11000,38783,True,54520
11250,38731,True,54520
11500,38680,True,54520
11750,38624,True,54520
12000,38568,True,54520
12250,38505,True,54520
12500,38432,True,54520
12750,38378,True,54520
13000,38321,True,54520
13250,38253,True,54520
13500,38193,True,54520
13750,38118,True,54520
14000,38064,True,54520
14250,38001,True,54520
14500,37932,True,54520
14750,37866,True,54520
15000,37784,True,54520
15250,37713,True,54520
15500,37627,True,54520
15750,37552,True,54520
16000,37461,True,54520
16250,37375,True,54520
16500,37285,True,54520
16750,37200,True,54520
17000,37121,True,54520
17250,37029,True,54520
17500,36939,True,54520
17750,36824,True,54520
18000,36739,True,54520
18250,36634,True,54520
18500,36534,True,54520
18750,36430,True,54520
19000,36341,True,54520
19250,36218,True,54520
19500,36109,True,54520
19750,36020,True,54520
20000,35889,True,54520
20250,35767,True,54520
20500,35617,True,54520
20750,35470,True,54520
21000,35359,True,54520
21250,35219,True,54520
21500,35077,True,54520
21750,34935,True,54520
22000,34778,True,54520
22250,34625,True,54520
22500,34473,True,54520
22750,34343,True,54520
23000,34187,True,54520
23250,34021,True,54520
23500,33869,True,54520
23750,33675,True,54520
24000,33519,True,54520
24250,33333,True,54520
24500,33150,True,54520
24750,32974,True,54520
25000,32753,True,54520
25250,32549,True,54520
25500,32359,True,54520
25750,32175,True,54520
26000,31969,True,54520
26250,31757,True,54520
26500,31523,True,54520
26750,31283,True,54520
27000,31035,True,54520
27250,30830,True,54520
27500,30584,True,54520
27750,30334,True,54520
28000,30110,True,54520
28250,29856,True,54520
28500,29577,True,54520
28750,29307,True,54520
29000,29079,True,54520
29250,28837,True,54520
29500,28592,True,54520
29750,28267,True,54520
30000,27967,True,54520
30250,27697,True,54520
30500,27416,True,54520
30750,27075,True,54520
31000,26691,True,54520
31250,26339,True,54520
31500,25983,True,54520
31750,25622,True,54520
32000,25275,True,54520
32250,24895,True,54520
32500,24554,True,54520
32750,24204,True,54520
33000,23755,True,54520
33250,23373,True,54520
33500,23002,True,54520
33750,22598,True,54520
34000,22159,True,54520
34250,21709,True,54520
34500,21318,True,54520
34750,20846,True,54520
35000,20371,True,54520
35250,19892,True,54520
35500,19471,True,54520
35750,18987,True,54520
36000,18470,True,54520
36250,17988,True,54520
36500,17388,True,54520
36750,17264,True,54520
37000,17113,True,54520
37250,16982,True,54520
37500,16821,True,54520
37750,16677,True,54520
38000,16566,True,54520
38250,16398,True,54520
38500,16237,True,54520
38750,16080,True,54520
39000,15890,True,54520
39250,15722,True,54520
39500,15594,True,54520
39750,15452,True,54520
40000,15242,True,54520
40250,15077,True,54520
40500,14906,True,54520
40750,14741,True,54520
41000,14558,True,54520
41250,14338,True,54520
41500,14095,True,54520
41750,13893,True,54520
42000,13696,True,54520
42250,13508,True,54520
42500,13310,True,54520
42750,13112,True,54520
43000,12903,True,54520
43250,12691,True,54520
43500,12494,True,54520
43750,12304,True,54520
44000,12077,True,54520
44250,11859,True,54520
44500,11563,True,54520
44750,11304,True,54520
45000,11045,True,54520
45250,10823,True,54520
45500,10587,True,54520
45750,10312,True,54520
46000,10001,True,54520
46250,9718,True,54520
46500,9437,True,54520
46750,9115,True,54520
47000,8791,True,54520
47250,8489,True,54520
47500,8129,True,54520
47750,7706,True,54520
48000,7339,True,54520
48250,6913,True,54520
48500,6478,True,54520
48750,6061,True,54520
49000,5631,True,54520
49250,5126,True,54520
49500,4591,True,54520
49750,4391,True,54520
50000,4219,True,54520
50250,4041,True,54520
50500,3865,True,54520
50750,3685,True,54520
51000,3493,True,54520
51250,3293,True,54520
51500,3040,True,54520
51750,2782,True,54520
52000,2531,True,54520
52250,2259,True,54520
52500,1927,True,54520
52750,1574,True,54520
53000,1279,True,54520
53250,1111,True,54520
53500,906,True,54520
53750,653,True,54520
54000,415,True,54520
54250,194,True,54520
54500,10,True,54520
54520,0,True,54520
