map_size,diagonals,passes,failures,n_trials,avg_iterations,stopping_criterion
50x50,On,10,0,10,3436.4,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
50x50,Off,10,0,10,3423.1,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
75x75,On,10,0,10,7631.9,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
75x75,Off,10,0,10,7674.3,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
100x100,On,10,0,10,13833.7,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
100x100,Off,8,2,10,13402.1,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
150x150,On,10,0,10,30890.6,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
150x150,Off,6,4,10,30310.0,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
200x200,On,10,0,10,55219.2,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
200x200,Off,3,7,10,54678.7,"max_iterations=1,000,000 OR 10,000 consecutive iterations without any reduction in conflict score"
